Evaluation,mean,median,count,prop_0_0p5,prop_0p5_1,prop_0.5_3,prop_0.5_5,prop_0.5_30,prop_1_3,prop_1_5,prop_1_30,prop_3_30,prop_5_30,prop_gt10,prop_sum_check
CA-APFO-TW-23031_2023-08-18,0.07755619872644372,0.05000000074505806,5872,0.9986376021798365,0.0013623978201634877,0.0013623978201634877,0.0013623978201634877,0.0013623978201634877,0,0,0,0,0,0,1.0040871934604907
NV-NCD-TW-24005_2024-07-31,2.478479913297106,2.480333352088928,6322,0.04666244859221765,0.19297690604239165,0.5558367605188231,0.9060423916482125,0.9533375514077823,0.3628598544764315,0.713065485605821,0.7603606453653907,0.3975007908889592,0.04729515975956976,0,4.9359379943056
CA-APFO-TW-23089_2023-06-21,0.1357399574599089,0.12999999523162842,3784,1,0,0,0,0,0,0,0,0,0,0,1
CA-APFO-TW-22091_2022-08-04,0.06728918907207412,0.05000000074505806,3700,1,0,0,0,0,0,0,0,0,0,0,1
CA-ELFO-TW-24025_2024-06-02,0.04496969659107201,0.03999999910593033,5610,1,0,0,0,0,0,0,0,0,0,0,1
CA-ELFO-TW-24027_2024-08-16,0.0169248986826794,0.00999999977648258,7177,1,0,0,0,0,0,0,0,0,0,0,1
CA-ELFO-TW-23005_2023-05-19,0.5871964254846631,0.16975717605081353,5147,0.8265008742957063,0.06566932193510783,0.11152127452885176,0.1416359044103361,0.17349912570429377,0.04585195259374393,0.07596658247522829,0.10782980376918594,0.061977851175442,0.03186322129395765,0,1.6423159121818536
CA-APFO-TW-22084_2024-08-16,0.08254263069521495,0.05999999865889549,6568,0.9943666260657734,0.005633373934226553,0.005633373934226553,0.005633373934226553,0.005633373934226553,0,0,0,0,0,0,1.0169001218026794
NV-NOD-RW-22506_2022-07-09,2.5367965515208195,2.1995349318482154,6031,0.00497429945282706,0.11341402752445698,0.6609185872989554,0.9260487481346377,0.995025700547173,0.5475045597744984,0.8126347206101807,0.8816116730227159,0.33410711324821757,0.06897695241253524,0,5.345216382026199
NV-NOD-RW-22528_2022-07-07,0.03101461426746529,0.00999999977648258,5953,1,0,0,0,0,0,0,0,0,0,0,1
NV-NOD-RW-23684_2023-06-24,0.3732980223817194,0.17000000178813934,1416,0.7245762711864406,0.1716101694915254,0.2754237288135593,0.2754237288135593,0.2754237288135593,0.1038135593220339,0.1038135593220339,0.1038135593220339,0,0,0,2.0338983050847457
